alpha,omega,steady_time
-0.5,0.5,65.05
-0.5,0.5918367346938775,34.08
-0.5,0.6836734693877551,149.99
-0.5,0.7755102040816326,149.99
-0.5,0.8673469387755102,31.52
-0.5,0.9591836734693877,56.54
-0.5,1.0510204081632653,47.17
-0.5,1.1428571428571428,74.83
-0.5,1.2346938775510203,40.6
-0.5,1.3265306122448979,38.300000000000004
-0.5,1.4183673469387754,46.32
-0.5,1.5102040816326532,43.32
-0.5,1.6020408163265307,41.660000000000004
-0.5,1.6938775510204083,43.45
-0.5,1.7857142857142858,46.79
-0.5,1.8775510204081634,16.75
-0.5,1.969387755102041,30.330000000000002
-0.5,2.0612244897959187,57.620000000000005
-0.5,2.1530612244897958,21.080000000000002
-0.5,2.2448979591836737,7.26
-0.5,2.336734693877551,5.37
-0.5,2.428571428571429,5.17
-0.5,2.5204081632653064,7.2700000000000005
-0.5,2.612244897959184,10.950000000000001
-0.5,2.7040816326530615,10.77
-0.5,2.795918367346939,10.58
-0.5,2.8877551020408165,10.31
-0.5,2.979591836734694,10.02
-0.5,3.0714285714285716,9.78
-0.5,3.163265306122449,9.71
-0.5,3.2551020408163267,9.88
-0.5,3.3469387755102042,10.09
-0.5,3.438775510204082,10.15
-0.5,3.5306122448979593,10.13
-0.5,3.622448979591837,10.09
-0.5,3.7142857142857144,10.040000000000001
-0.5,3.806122448979592,9.99
-0.5,3.8979591836734695,9.96
-0.5,3.989795918367347,9.950000000000001
-0.5,4.081632653061225,9.98
-0.5,4.173469387755102,10.01
-0.5,4.26530612244898,10.02
-0.5,4.357142857142858,10.040000000000001
-0.5,4.448979591836735,10.05
-0.5,4.540816326530613,10.05
-0.5,4.63265306122449,10.06
-0.5,4.724489795918368,10.07
-0.5,4.816326530612245,10.08
-0.5,4.908163265306123,10.11
-0.5,5.0,10.14
-0.45918367346938777,0.5,63.71
-0.45918367346938777,0.5918367346938775,34.230000000000004
-0.45918367346938777,0.6836734693877551,149.99
-0.45918367346938777,0.7755102040816326,33.08
-0.45918367346938777,0.8673469387755102,31.57
-0.45918367346938777,0.9591836734693877,55.42
-0.45918367346938777,1.0510204081632653,48.15
-0.45918367346938777,1.1428571428571428,58.61
-0.45918367346938777,1.2346938775510203,42.68
-0.45918367346938777,1.3265306122448979,37.93
-0.45918367346938777,1.4183673469387754,46.230000000000004
-0.45918367346938777,1.5102040816326532,43.18
-0.45918367346938777,1.6020408163265307,41.08
-0.45918367346938777,1.6938775510204083,43.47
-0.45918367346938777,1.7857142857142858,27.29
-0.45918367346938777,1.8775510204081634,35.37
-0.45918367346938777,1.969387755102041,34.87
-0.45918367346938777,2.0612244897959187,104.93
-0.45918367346938777,2.1530612244897958,14.19
-0.45918367346938777,2.2448979591836737,13.71
-0.45918367346938777,2.336734693877551,5.89
-0.45918367346938777,2.428571428571429,5.17
-0.45918367346938777,2.5204081632653064,7.48
-0.45918367346938777,2.612244897959184,7.73
-0.45918367346938777,2.7040816326530615,10.48
-0.45918367346938777,2.795918367346939,10.32
-0.45918367346938777,2.8877551020408165,10.14
-0.45918367346938777,2.979591836734694,10.01
-0.45918367346938777,3.0714285714285716,10.02
-0.45918367346938777,3.163265306122449,10.200000000000001
-0.45918367346938777,3.2551020408163267,10.34
-0.45918367346938777,3.3469387755102042,10.39
-0.45918367346938777,3.438775510204082,10.36
-0.45918367346938777,3.5306122448979593,10.32
-0.45918367346938777,3.622448979591837,10.26
-0.45918367346938777,3.7142857142857144,10.23
-0.45918367346938777,3.806122448979592,10.21
-0.45918367346938777,3.8979591836734695,10.22
-0.45918367346938777,3.989795918367347,10.23
-0.45918367346938777,4.081632653061225,10.26
-0.45918367346938777,4.173469387755102,10.290000000000001
-0.45918367346938777,4.26530612244898,10.290000000000001
-0.45918367346938777,4.357142857142858,10.3
-0.45918367346938777,4.448979591836735,10.31
-0.45918367346938777,4.540816326530613,10.31
-0.45918367346938777,4.63265306122449,10.34
-0.45918367346938777,4.724489795918368,10.35
-0.45918367346938777,4.816326530612245,10.370000000000001
