delta,gamma,steady_time
0.1,1.5,41.800000000000004
0.1,1.5408163265306123,43.75
0.1,1.5816326530612246,43.150000000000006
0.1,1.6224489795918366,42.35
0.1,1.663265306122449,42.300000000000004
0.1,1.7040816326530612,43.900000000000006
0.1,1.7448979591836735,45.1
0.1,1.7857142857142856,46.75
0.1,1.8265306122448979,48.150000000000006
0.1,1.8673469387755102,54.2
0.1,1.9081632653061225,82.30000000000001
0.1,1.9489795918367347,79.4
0.1,1.989795918367347,77.60000000000001
0.1,2.0306122448979593,76.05
0.1,2.071428571428571,74.75
0.1,2.1122448979591835,73.55
0.1,2.1530612244897958,72.75
0.1,2.193877551020408,81.55000000000001
0.1,2.2346938775510203,80.85000000000001
0.1,2.2755102040816326,79.75
0.1,2.316326530612245,79.10000000000001
0.1,2.357142857142857,78.15
0.1,2.3979591836734695,77.65
0.1,2.4387755102040813,76.65
0.1,2.479591836734694,76.05
0.1,2.520408163265306,75.10000000000001
0.1,2.561224489795918,74.60000000000001
0.1,2.6020408163265305,74.2
0.1,2.642857142857143,73.4
0.1,2.683673469387755,72.95
0.1,2.724489795918367,72.55
0.1,2.7653061224489797,71.7
0.1,2.8061224489795915,71.3
0.1,2.8469387755102042,70.85000000000001
0.1,2.887755102040816,70.0
0.1,2.9285714285714284,77.95
0.1,2.9693877551020407,77.55000000000001
0.1,3.010204081632653,76.9
0.1,3.0510204081632653,76.55
0.1,3.091836734693877,76.2
0.1,3.13265306122449,75.9
0.1,3.1734693877551017,75.2
0.1,3.2142857142857144,74.75
0.1,3.2551020408163263,74.3
0.1,3.2959183673469385,73.55
0.1,3.336734693877551,73.10000000000001
0.1,3.377551020408163,72.75
0.1,3.4183673469387754,72.15
0.1,3.4591836734693877,71.75
0.1,3.5,71.5
0.10816326530612246,1.5,38.900000000000006
0.10816326530612246,1.5408163265306123,38.900000000000006
0.10816326530612246,1.5816326530612246,38.650000000000006
0.10816326530612246,1.6224489795918366,40.35
0.10816326530612246,1.663265306122449,41.650000000000006
0.10816326530612246,1.7040816326530612,41.7
0.10816326530612246,1.7448979591836735,43.2
0.10816326530612246,1.7857142857142856,44.7
0.10816326530612246,1.8265306122448979,45.95
0.10816326530612246,1.8673469387755102,48.75
0.10816326530612246,1.9081632653061225,82.85000000000001
0.10816326530612246,1.9489795918367347,79.4
0.10816326530612246,1.989795918367347,77.45
0.10816326530612246,2.0306122448979593,75.9
0.10816326530612246,2.071428571428571,74.60000000000001
0.10816326530612246,2.1122448979591835,73.35000000000001
0.10816326530612246,2.1530612244897958,72.15
0.10816326530612246,2.193877551020408,71.45
0.10816326530612246,2.2346938775510203,70.45
0.10816326530612246,2.2755102040816326,69.8
0.10816326530612246,2.316326530612245,68.8
0.10816326530612246,2.357142857142857,68.3
0.10816326530612246,2.3979591836734695,67.85000000000001
0.10816326530612246,2.4387755102040813,66.9
0.10816326530612246,2.479591836734694,66.45
0.10816326530612246,2.520408163265306,65.55
0.10816326530612246,2.561224489795918,74.25
0.10816326530612246,2.6020408163265305,73.45
0.10816326530612246,2.642857142857143,73.05
0.10816326530612246,2.683673469387755,72.55
0.10816326530612246,2.724489795918367,71.8
0.10816326530612246,2.7653061224489797,71.35000000000001
0.10816326530612246,2.8061224489795915,70.55
0.10816326530612246,2.8469387755102042,70.05
0.10816326530612246,2.887755102040816,69.65
0.10816326530612246,2.9285714285714284,68.9
0.10816326530612246,2.9693877551020407,68.5
0.10816326530612246,3.010204081632653,68.2
0.10816326530612246,3.0510204081632653,68.0
0.10816326530612246,3.091836734693877,67.7
0.10816326530612246,3.13265306122449,67.05
0.10816326530612246,3.1734693877551017,66.75
0.10816326530612246,3.2142857142857144,66.45
0.10816326530612246,3.2551020408163263,65.7
0.10816326530612246,3.2959183673469385,65.3
0.10816326530612246,3.336734693877551,64.95
0.10816326530612246,3.377551020408163,71.95
0.10816326530612246,3.4183673469387754,71.60000000000001
0.10816326530612246,3.4591836734693877,71.3
0.10816326530612246,3.5,71.0
0.1163265306122449,1.5,36.75
0.1163265306122449,1.5408163265306123,38.15
0.1163265306122449,1.5816326530612246,38.300000000000004
0.1163265306122449,1.6224489795918366,38.050000000000004
0.1163265306122449,1.663265306122449,39.650000000000006
0.1163265306122449,1.7040816326530612,39.400000000000006
0.1163265306122449,1.7448979591836735,40.95
0.1163265306122449,1.7857142857142856,42.35
0.1163265306122449,1.8265306122448979,39.300000000000004
0.1163265306122449,1.8673469387755102,42.300000000000004
0.1163265306122449,1.9081632653061225,74.5
0.1163265306122449,1.9489795918367347,68.95
0.1163265306122449,1.989795918367347,66.85000000000001
0.1163265306122449,2.0306122448979593,65.3
0.1163265306122449,2.071428571428571,64.0
0.1163265306122449,2.1122448979591835,63.25
0.1163265306122449,2.1530612244897958,71.9
0.1163265306122449,2.193877551020408,71.2
0.1163265306122449,2.2346938775510203,70.2
0.1163265306122449,2.2755102040816326,69.5
0.1163265306122449,2.316326530612245,68.55
0.1163265306122449,2.357142857142857,68.05
0.1163265306122449,2.3979591836734695,67.15
0.1163265306122449,2.4387755102040813,66.65
0.1163265306122449,2.479591836734694,65.75
0.1163265306122449,2.520408163265306,65.25
0.1163265306122449,2.561224489795918,64.8
0.1163265306122449,2.6020408163265305,64.05
0.1163265306122449,2.642857142857143,63.650000000000006
0.1163265306122449,2.683673469387755,63.300000000000004
0.1163265306122449,2.724489795918367,62.6
0.1163265306122449,2.7653061224489797,62.150000000000006
0.1163265306122449,2.8061224489795915,61.800000000000004
0.1163265306122449,2.8469387755102042,61.1
0.1163265306122449,2.887755102040816,60.650000000000006
0.1163265306122449,2.9285714285714284,68.55
0.1163265306122449,2.9693877551020407,68.2
0.1163265306122449,3.010204081632653,67.8
0.1163265306122449,3.0510204081632653,67.2
0.1163265306122449,3.091836734693877,66.9
0.1163265306122449,3.13265306122449,66.60000000000001
0.1163265306122449,3.1734693877551017,66.3
0.1163265306122449,3.2142857142857144,65.60000000000001
0.1163265306122449,3.2551020408163263,65.2
0.1163265306122449,3.2959183673469385,64.85000000000001
0.1163265306122449,3.336734693877551,64.15
0.1163265306122449,3.377551020408163,63.800000000000004
