gamma,omega,steady_time
1.5,0.5,38.800000000000004
1.5,0.5918367346938775,149.99
1.5,0.6836734693877551,123.27
1.5,0.7755102040816326,149.99
1.5,0.8673469387755102,56.32
1.5,0.9591836734693877,47.5
1.5,1.0510204081632653,67.88
1.5,1.1428571428571428,53.370000000000005
1.5,1.2346938775510203,47.230000000000004
1.5,1.3265306122448979,45.89
1.5,1.4183673469387754,47.18
1.5,1.5102040816326532,44.34
1.5,1.6020408163265307,51.21
1.5,1.6938775510204083,98.05
1.5,1.7857142857142858,66.53
1.5,1.8775510204081634,149.99
1.5,1.969387755102041,149.99
1.5,2.0612244897959187,149.99
1.5,2.1530612244897958,149.99
1.5,2.2448979591836737,149.99
1.5,2.336734693877551,62.410000000000004
1.5,2.428571428571429,149.99
1.5,2.5204081632653064,53.08
1.5,2.612244897959184,66.4
1.5,2.7040816326530615,103.32000000000001
1.5,2.795918367346939,24.650000000000002
1.5,2.8877551020408165,149.99
1.5,2.979591836734694,16.29
1.5,3.0714285714285716,42.13
1.5,3.163265306122449,26.84
1.5,3.2551020408163267,25.990000000000002
1.5,3.3469387755102042,32.46
1.5,3.438775510204082,30.27
1.5,3.5306122448979593,24.3
1.5,3.622448979591837,21.66
1.5,3.7142857142857144,19.61
1.5,3.806122448979592,19.19
1.5,3.8979591836734695,17.61
1.5,3.989795918367347,24.41
1.5,4.081632653061225,24.44
1.5,4.173469387755102,21.94
1.5,4.26530612244898,19.91
1.5,4.357142857142858,19.87
1.5,4.448979591836735,21.8
1.5,4.540816326530613,19.8
1.5,4.63265306122449,19.69
1.5,4.724489795918368,19.71
1.5,4.816326530612245,19.78
1.5,4.908163265306123,19.830000000000002
1.5,5.0,19.91
1.5408163265306123,0.5,54.800000000000004
1.5408163265306123,0.5918367346938775,149.99
1.5408163265306123,0.6836734693877551,149.99
1.5408163265306123,0.7755102040816326,33.37
1.5408163265306123,0.8673469387755102,149.99
1.5408163265306123,0.9591836734693877,119.52
1.5408163265306123,1.0510204081632653,85.03
1.5408163265306123,1.1428571428571428,50.39
1.5408163265306123,1.2346938775510203,45.35
1.5408163265306123,1.3265306122448979,44.0
1.5408163265306123,1.4183673469387754,58.65
1.5408163265306123,1.5102040816326532,42.69
1.5408163265306123,1.6020408163265307,48.31
1.5408163265306123,1.6938775510204083,73.49
1.5408163265306123,1.7857142857142858,76.55
1.5408163265306123,1.8775510204081634,149.99
1.5408163265306123,1.969387755102041,149.99
1.5408163265306123,2.0612244897959187,149.99
1.5408163265306123,2.1530612244897958,36.57
1.5408163265306123,2.2448979591836737,149.99
1.5408163265306123,2.336734693877551,78.44
1.5408163265306123,2.428571428571429,149.99
1.5408163265306123,2.5204081632653064,149.99
1.5408163265306123,2.612244897959184,149.99
1.5408163265306123,2.7040816326530615,149.99
1.5408163265306123,2.795918367346939,149.99
1.5408163265306123,2.8877551020408165,149.99
1.5408163265306123,2.979591836734694,16.11
1.5408163265306123,3.0714285714285716,149.99
1.5408163265306123,3.163265306122449,26.95
1.5408163265306123,3.2551020408163267,24.79
1.5408163265306123,3.3469387755102042,25.76
1.5408163265306123,3.438775510204082,30.46
1.5408163265306123,3.5306122448979593,24.52
1.5408163265306123,3.622448979591837,21.73
1.5408163265306123,3.7142857142857144,21.25
1.5408163265306123,3.806122448979592,19.17
1.5408163265306123,3.8979591836734695,17.43
1.5408163265306123,3.989795918367347,24.3
1.5408163265306123,4.081632653061225,24.43
1.5408163265306123,4.173469387755102,21.94
1.5408163265306123,4.26530612244898,19.900000000000002
1.5408163265306123,4.357142857142858,19.87
1.5408163265306123,4.448979591836735,21.8
1.5408163265306123,4.540816326530613,19.79
1.5408163265306123,4.63265306122449,19.67
1.5408163265306123,4.724489795918368,19.67
1.5408163265306123,4.816326530612245,19.740000000000002
1.5408163265306123,4.908163265306123,19.79
1.5408163265306123,5.0,19.87
1.5816326530612246,0.5,53.6
1.5816326530612246,0.5918367346938775,149.99
1.5816326530612246,0.6836734693877551,149.99
1.5816326530612246,0.7755102040816326,28.240000000000002
1.5816326530612246,0.8673469387755102,149.99
1.5816326530612246,0.9591836734693877,89.04
1.5816326530612246,1.0510204081632653,101.22
1.5816326530612246,1.1428571428571428,45.03
1.5816326530612246,1.2346938775510203,40.02
1.5816326530612246,1.3265306122448979,47.25
1.5816326530612246,1.4183673469387754,44.050000000000004
1.5816326530612246,1.5102040816326532,42.410000000000004
1.5816326530612246,1.6020408163265307,63.79
1.5816326530612246,1.6938775510204083,47.97
1.5816326530612246,1.7857142857142858,149.99
1.5816326530612246,1.8775510204081634,149.99
1.5816326530612246,1.969387755102041,149.99
1.5816326530612246,2.0612244897959187,149.99
1.5816326530612246,2.1530612244897958,149.99
1.5816326530612246,2.2448979591836737,149.99
1.5816326530612246,2.336734693877551,149.99
1.5816326530612246,2.428571428571429,149.99
1.5816326530612246,2.5204081632653064,149.99
1.5816326530612246,2.612244897959184,149.99
1.5816326530612246,2.7040816326530615,120.26
1.5816326530612246,2.795918367346939,28.8
1.5816326530612246,2.8877551020408165,149.99
1.5816326530612246,2.979591836734694,149.99
1.5816326530612246,3.0714285714285716,16.9
1.5816326530612246,3.163265306122449,28.240000000000002
1.5816326530612246,3.2551020408163267,35.81
